1,Times Square
2,Fulton St/Bway-Nassau
3,Canal St
4,Union Sq
5,Grand Central
6,Chambers/Park Pl/WTC
7,Broadway Junction
8,Borough Hall/Court St
9,Atlantic/Pacific
10,14St/6-7 Avs
11,Roosevelt Av/74 St
12,Myrtle/Wyckoff
13,Lorimer/Metropolitan
14,Lex Av-59 St
15,Lex Av-51 St
16,Herald Sq
17,Franklin/Fulton
18,Franklin/Botanic Garden
19,Essex/Delancey
20,Columbus Circle
21,Chambers/Bklyn Bridge
22,Bway-Lafayette/Bleecker
23,62St/New Utrecht
24,42 St/5-6 Avs
25,23St/Court Sq
26,168th Street
27,161St-Yankee Stadium
28,149St/Gr Conc
29,14 St/8 Av
30,9 St/4 Av
